taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5255491	Spathularia clavata (Schaeff.) Sacc.	5255490	Spathularia flavida Pers.	4	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Leotiomycetes	179	Rhytismatales	1278	Rhytismataceae	8281	Spathularia	2537017	Spathularia flavida	5255490	
2520395	Phellinus ferruginosus (Schrad.) Pat.	2520410	Fuscoporia ferruginosa (Schrad.) Murrill	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Fuscoporia	2521283	Fuscoporia ferruginosa	2520410	
5249549	Cantharellus infundibuliformis (Scop.) Fr.	2554536	Craterellus tubaeformis (Fr.) Quél.	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Cantharellaceae	8457	Craterellus	2521421	Craterellus tubaeformis	2554536	
6005964	Amanita Dill. ex Boehm., 1760	6005964	Amanita Dill. ex Boehm., 1760	1	GENUS	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964			
7567077	Cordyceps militaris (L.) Fr.	7567077	Cordyceps militaris (L.) Fr.	5	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Cordycipitaceae	8418	Cordyceps	2560661	Cordyceps militaris	7567077	
5450587	Tricholoma muscarium Kawam. ex Hongo	5450587	Tricholoma muscarium Kawam. ex Hongo	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Tricholomataceae	8787	Tricholoma	2527766	Tricholoma muscarium	5450587	
9072021	Laetiporus sulphureus (Bull.) Murrill	9072021	Laetiporus sulphureus (Bull.) Murrill	5	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Fomitopsidaceae	7619	Laetiporus	2542160	Laetiporus sulphureus	9072021	
2538631	Hygrocybe flavescens (Kauffman) Singer	2538631	Hygrocybe flavescens (Kauffman) Singer	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hygrophoraceae	4176	Hygrocybe	2523318	Hygrocybe flavescens	2538631	
5249271	Auricularia auricula-judae (Bull.) Quél.	5249271	Auricularia auricula-judae (Bull.) Quél.	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Auriculariales	1062	Auriculariaceae	8788	Auricularia	7984308	Auricularia auricula-judae	5249271	
5239613	Boletus ornatipes Peck	2524455	Retiboletus ornatipes (Peck) Manfr.Binder & Bresinsky	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Retiboletus	2524444	Retiboletus ornatipes	2524455	
2520013	Hymenochaete tabacina (Sowerby) Lév.	9355697	Hymenochaetopsis tabacina (Sowerby) S.H.He & Jiao Yang	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Hymenochaetopsis	9606178	Hymenochaetopsis tabacina	9355697	
7444343	Sarcoscypha coccinea (Gray) Boud.	7444343	Sarcoscypha coccinea (Gray) Boud.	3	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Sarcoscyphaceae	8400	Sarcoscypha	2581823	Sarcoscypha coccinea	7444343	
4911185	Hydnellum concrescens	4911185	Hydnellum concrescens	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Thelephorales	530	Bankeraceae	7608	Hydnellum	2522201	Hydnellum concrescens	4911185	
8195053	Lycoperdon mammaeforme Pers.	5243221	Lycoperdon mammiforme Pers.	3	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Lycoperdon	9367003	Lycoperdon mammiforme	5243221	
2520104	Leccinum Gray, 1821	2520104	Leccinum Gray, 1821	3	GENUS	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Leccinum	2520104			
5243212	Lycoperdon foetidum Bonord.	5243210	Lycoperdon nigrescens Pers.	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Lycoperdon	9367003	Lycoperdon nigrescens	5243210	
2529831	Conocybe lactea (J.E.Lange) Métrod	2529827	Conocybe apala (Fr.) Arnolds	6	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Bolbitiaceae	8440	Conocybe	2529714	Conocybe apala	2529827	
2536021	Macrolepiota neomastoidea (Hongo) Hongo	5955381	Chlorophyllum neomastoideum (Hongo) Vellinga	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Chlorophyllum	3268912	Chlorophyllum neomastoideum	5955381	
2549730	Ganoderma lucidum (Curtis) P.Karst.	2549730	Ganoderma lucidum (Curtis) P.Karst.	6	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Ganodermataceae	3290	Ganoderma	2519220	Ganoderma lucidum	2549730	
5240219	Amanita solitaria (Bull.) Fr.	7242066	Aspidella solitaria (Bull.) E.-J.Gilbert	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Aspidella	8182649	Aspidella solitaria	7242066	
2531144	Clitocybe gibba (Pers.) P.Kumm.	2531146	Infundibulicybe gibba (Pers.) Harmaja	5	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Tricholomataceae	8787	Infundibulicybe	2532098	Infundibulicybe gibba	2531146	
5241808	Tricholoma terreum (Schaeff.) P.Kumm.	5241808	Tricholoma terreum (Schaeff.) P.Kumm.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Tricholomataceae	8787	Tricholoma	2527766	Tricholoma terreum	5241808	
9225326	Strobilomyces strobilaceus (Scop.) Berk.	9225326	Strobilomyces strobilaceus (Scop.) Berk.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Strobilomyces	2524323	Strobilomyces strobilaceus	9225326	
3356259	Strobilomyces confusus Singer	3356259	Strobilomyces confusus Singer	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Strobilomyces	2524323	Strobilomyces confusus	3356259	
